Trade Date,Bear,Bull,f_o2c_change
2020-07-02,6732.47533333334,5827.691333333337,-0.005070586947798494
2020-07-03,6496.8480000000045,5463.9879999999985,
2020-07-06,4887.066666666665,4917.831333333334,
2020-07-07,4702.099999999998,6776.891333333338,-0.012397322786735665
2020-07-08,4960.733333333338,7459.252666666667,-0.017403214760504326
2020-07-09,5669.360000000002,7953.770000000005,-0.006282680069717439
2020-07-10,4463.8166666666675,8962.716000000008,0.009479662574125136
2020-07-13,5467.733333333331,9370.750000000013,0.0028431219816171804
2020-07-14,4943.473999999998,8982.22133333334,-0.008886646746090299
2020-07-15,5127.934666666669,9976.735333333341,-0.00094051257935579
2020-07-16,4922.574666666662,8650.897333333345,-0.021709260785930162
2020-07-17,6058.943333333328,8450.068000000003,0.010321285140562297
2020-07-20,6646.377333333332,8218.295333333339,-0.006078665077473233
2020-07-21,5703.874000000002,8905.973333333339,0.022111355018958223
2020-07-22,5387.200666666665,8423.52933333334,-0.020368347120337083
2020-07-23,6687.930666666663,8820.588666666674,0.007748841667998052
2020-07-24,5866.953333333335,8562.259333333335,-0.02063082721682208
2020-07-27,6850.422000000001,8206.958000000006,-0.003197086199919097
2020-07-28,6918.172000000003,8716.264666666668,0.005115920256608009
2020-07-29,6993.39466666667,8892.974666666669,0.004684408189637779
2020-07-30,7847.641333333329,8867.386000000002,0.005558016835152335
2020-07-31,7082.83733333333,9396.528000000002,-0.0023155671108222586
2020-08-03,6626.533333333331,9797.492000000006,
2020-08-04,6618.177333333329,8786.426000000001,-0.024866639310627825
2020-08-05,7022.433333333325,9575.275333333338,0.011150702158876591
2020-08-06,6606.174666666667,10856.404666666675,0.0031621194308184553
2020-08-07,5117.492666666664,10018.55266666667,0.004509539410290975
2020-08-10,5953.360666666669,10617.861333333338,-0.002896152254861395
2020-08-11,7526.643333333329,8430.382666666672,
2020-08-12,6057.411333333334,9338.992000000002,
2020-08-13,5696.546666666665,9662.316666666677,-0.0049893086243762985
2020-08-14,6211.1380000000045,9178.026666666668,-0.0022284122562674646
2020-08-17,6335.481999999998,9300.164000000006,0.00961999041992656
2020-08-18,6104.472666666667,10177.774000000014,0.00043426766679832696
2020-08-19,5843.74866666667,10284.04400000001,-0.008442147619235452
2020-08-20,5039.554666666663,11099.484000000006,-0.017712852764399156
2020-08-21,6917.127333333331,9006.638666666666,0.015062558205449994
2020-08-24,7223.968666666664,9132.813333333335,0.017430497387419752
2020-08-25,6640.255333333338,9986.30600000001,-0.0022736181889455587
2020-08-26,6646.3,11331.05733333334,-0.0006287331027978738
2020-08-27,5800.260000000007,11847.426666666664,-0.008806762335364704
2020-08-28,7327.282666666671,9888.543333333339,0.012692872158978297
2020-08-31,6247.037333333332,10925.498666666675,-0.01193947513594451
2020-09-01,5676.749333333336,11696.55533333334,0.01988312428734318
2020-09-02,5292.79866666667,13304.167333333324,
2020-09-03,6309.191333333337,14301.823333333337,-0.04448802245549277
2020-09-04,6038.417333333334,12839.78333333334,0.017997561078171742
2020-09-07,6397.155333333334,14318.294000000016,0.007949614040477782
2020-09-08,6634.267999999997,14012.754000000008,
2020-09-09,6389.311999999998,14568.724000000017,-0.0012679973821989599
2020-09-10,7548.536000000005,14437.844666666668,-0.0027793910229818586
2020-09-11,8208.484000000004,13808.980000000007,
2020-09-14,7996.44066666667,13415.317333333353,0.003024111156518128
2020-09-15,8968.048666666677,13263.005333333358,0.008930391877013388
2020-09-16,8720.714000000005,14311.154000000019,-0.0016561641622232504
2020-09-17,8020.972666666668,17297.991333333335,-0.015136797798283919
2020-09-18,9214.756666666673,15101.891333333344,0.004353182751539952
2020-09-21,8262.186666666668,15069.35933333334,-0.023137928215190895
2020-09-22,7420.708000000003,13658.89933333333,-0.009465175692088601
2020-09-23,7623.9826666666695,14311.609333333336,0.0008445945945945166
2020-09-24,7250.108666666668,12252.426000000005,-0.019152077620755104
2020-09-25,5977.010000000004,10924.071333333337,-0.004129387474191337
2020-09-28,8033.260666666677,10077.444666666672,0.010652061411074776
2020-09-29,8155.107333333334,11549.604666666666,-0.0015361638574781233
2020-09-30,8521.456000000002,10023.131333333338,0.006919076883407094
2020-10-05,8325.006666666666,9483.632000000009,
2020-10-06,10118.488666666673,8654.286666666669,0.007612373127114491
2020-10-07,9734.299333333336,8589.683333333332,-0.020209723546234515
2020-10-08,8768.184666666675,10426.180000000002,0.0010664479081214928
2020-10-09,8763.603333333343,10813.132666666672,-0.007048602573559548
2020-10-12,8467.346666666665,8425.776666666674,
2020-10-14,8274.32133333333,10270.321333333352,-0.007741935483870921
2020-10-15,7596.0019999999995,11678.917333333346,-0.021139070693930617
2020-10-16,8455.104,10878.614000000016,0.012261523754104386
2020-10-19,8036.630666666665,11238.617333333343,0.008462391652631185
2020-10-20,8451.567333333336,11767.143333333339,-0.0021990552207199476
2020-10-21,8267.986666666666,10095.789999999999,0.005591152103824104
2020-10-22,9307.779333333327,11177.99933333334,0.009870024370430608
2020-10-23,8714.032666666677,12236.994000000015,0.0035035438144330744
2020-10-27,7880.072000000001,14010.72733333335,-0.006950582563278407
2020-10-28,8768.944666666675,13696.08933333334,-0.004290455759734524
2020-10-29,8864.128000000002,12959.537999999995,-0.005681818181818232
2020-10-30,8333.089999999998,14011.736666666664,-0.01448270234986948
2020-11-02,10538.388666666673,11817.486666666671,0.016556047197640034
2020-11-03,10170.739333333335,9354.791333333334,-0.013659379047768594
2020-11-04,8821.545333333337,10381.54866666667,
2020-11-05,6894.7973333333275,7575.502000000006,0.01475341898052207
